id,user_name,first_name,last_name,email,reputation,created_at
1,annie_1,Annie,Smith,annie@dummy.com,3,2019-01-01 00:00:00
2,bob_2,Bob,Johnson,bob@dummy.com,4,2019-02-01 00:00:00
3,charlie_3,Charlie,Williams,charlie@dummy.com,4,2019-03-01 00:00:00
4,david_4,David,Jones,david@dummy.com,6,2019-04-01 00:00:00
5,edward_5,Edward,Brown,brown@dummy.com,5,2019-05-01 00:00:00
6,frank_6,Frank,Davis,frank@dummy.com,5,2019-06-01 00:00:00
7,george_7,George,Miller,george@dummy.com,3,2019-07-01 00:00:00
8,harry_8,Harry,Wilson,harry@dummy.com,4,2019-08-01 00:00:00
9,ian_9,Ian,Moore,ian@dummy.com,5,2019-09-01 00:00:00
10,jack_10,Jack,Taylor,jack@dummy.com,2,2019-10-01 00:00:00
